cntr_01,dist_x,pang_x,count2019_01,sourcename_01,ra_01,dec_01,vsys_01,lum_01,class_01,ra,dec,sigra,sigdec,w1mpro,w1sigmpro,w1snr,w2mpro,w2sigmpro,w2snr,w3mpro,w3sigmpro,w3snr,w4mpro,w4sigmpro,w4snr
1,3.914111,-39.288195,1,NGC_23,2.473333,25.92306,4565.0,180.0,-999,2.4725675,25.9239015,0.028,0.0269,9.311,0.022,49.4,9.105,0.019,58.3,5.021,0.014,79.0,2.503,0.018,62.0
2,1.681666,154.35106,2,NGC_17,2.777083,-12.10722,5931.0,-10.0,-999,2.7772898,-12.1076411,0.0288,0.0278,9.871,0.022,48.6,9.336,0.02,55.4,5.008,0.015,72.8,1.716,0.013,85.8
3,0.448373,39.719574,3,J0011-0054,2.938333,-0.9086111,14384.0,527.0,-999,2.9384126,-0.9085153,0.0472,0.0467,13.636,0.025,42.7,13.104,0.029,37.4,9.488,0.039,28.2,6.528,0.068,16.1
4,0.776226,2.578654,4,J0027+4544,6.855417,45.74083,12003.0,507.0,-999,6.8554309,45.7410454,0.0318,0.0309,11.446,0.022,48.6,11.215,0.02,53.1,7.743,0.017,64.1,5.45,0.03,36.4
6,3.784975,102.680427,6,M31,10.68333,41.26917,-300.0,-999.0,2,10.6846947,41.2689392,0.025,0.0249,5.819,0.045,23.9,6.635,0.019,56.0,5.852,0.015,72.0,4.329,0.03,36.4
7,0.268337,31.432558,7,NGC_235A,10.72,-23.54111,6664.0,-999.0,-999,10.7200424,-23.5410464,0.0306,0.0295,10.085,0.023,47.8,9.437,0.02,54.5,6.057,0.015,71.1,3.329,0.022,50.2
8,0.676769,67.150295,8,NGC_253,11.88792,-25.28833,241.0,0.2,22,11.8881116,-25.288257,0.0049,0.0039,5.757,0.034,32.3,5.028,0.029,37.4,0.087,0.024,45.5,-2.656,0.002,515.7
9,0.539853,78.342788,9,Mrk_348,12.19625,31.95694,4507.0,400.0,3,12.1964231,31.9569703,0.03,0.0293,9.396,0.024,45.6,8.189,0.02,54.4,5.077,0.015,74.4,2.68,0.019,57.3
10,5.963897,31.369828,10,SMC,13.1875,-72.82861,158.0,-999.0,2,13.1904208,-72.8271955,0.0589,0.0583,13.843,0.028,38.7,14.018,0.036,30.4,12.996,,-0.5,8.868,,1.3
11,0.3179,29.575288,11,NGC_291,13.37458,-8.767777,5705.0,74.0,-999,13.3746241,-8.7677002,0.0303,0.0304,11.054,0.023,47.6,10.726,0.02,53.8,6.568,0.016,69.9,3.485,0.024,46.2
12,1.389276,-105.573524,12,ESO_013-G012,16.75917,-80.30778,5047.0,500.0,-999,16.7569619,-80.3078836,0.0314,0.0326,10.102,0.023,47.7,9.93,0.02,53.3,7.379,0.017,64.8,5.702,0.041,26.4
13,0.345656,-54.687779,13,J0109-0332,17.43792,-3.542444,16369.0,-999.0,-999,17.4378415,-3.5423885,0.0291,0.0287,11.805,0.023,47.1,10.105,0.02,55.3,5.966,0.014,75.7,3.007,0.019,58.4
14,0.359105,155.961196,14,Mrk_1,19.03,33.08944,4780.0,50.0,11,19.0300485,33.0893489,0.0283,0.0273,11.11,0.022,48.6,9.803,0.019,56.8,5.705,0.014,79.4,2.579,0.017,63.5
15,4.066089,-135.449737,15,NGC_520,21.14613,3.792417,2281.0,1.0,22,21.1453359,3.7916121,0.0288,0.0284,9.398,0.022,48.5,8.745,0.02,55.3,4.354,0.015,74.8,1.601,0.015,72.5
16,0.151864,-99.689482,16,J0126-0417,21.50692,-4.298944,5639.0,112.0,11,21.5068783,-4.2989511,0.0372,0.0352,11.999,0.023,46.9,11.527,0.021,50.8,8.562,0.027,39.9,6.026,0.049,22.1
17,0.515796,107.968474,17,M33,23.31875,30.88056,-180.0,0.3,2,23.3189088,30.8805158,0.0296,0.0284,11.957,0.023,48.1,10.356,0.02,54.0,5.062,0.015,73.9,1.534,0.017,64.1
18,0.568537,126.48257,18,NGC_591,23.38,35.66833,4547.0,25.0,11,23.3801563,35.6682361,0.0295,0.0289,10.685,0.023,46.6,10.198,0.02,54.9,6.327,0.014,76.0,3.413,0.02,54.7
19,0.286603,73.20784,19,NGC_613,23.57583,-29.41861,1475.0,20.0,-999,23.5759175,-29.418587,0.0284,0.0281,8.786,0.023,48.0,8.393,0.02,54.8,4.529,0.013,82.1,1.658,0.017,63.7
20,1.088057,54.525749,20,IC_0184,29.96333,-6.840278,5287.0,-999.0,-999,29.9635779,-6.8401026,0.0384,0.0406,11.657,0.023,47.0,11.659,0.025,44.1,8.683,0.029,37.3,6.058,0.057,18.9
21,0.243956,117.699748,21,J0214-0016,33.52458,-0.2769444,11205.0,74.0,-999,33.52464,-0.2769759,0.0401,0.0395,13.576,0.025,44.2,12.73,0.026,42.2,8.674,0.024,45.9,5.82,0.036,30.2
22,0.230042,176.784171,22,Mrk_1029,34.26487,5.292056,9076.0,682.0,11,34.2648736,5.2919922,0.0305,0.0296,11.553,0.022,48.7,11.176,0.021,51.5,6.723,0.016,69.7,3.704,0.018,59.0
23,0.274821,4.535605,23,NGC_1052,40.27,-8.255834,1470.0,125.0,3,40.2700061,-8.2557579,0.03,0.0295,8.502,0.022,48.6,8.306,0.02,54.3,5.764,0.015,71.9,3.189,0.023,46.9
24,0.183319,23.126196,24,NGC_1068,40.66958,-0.01333333,1137.0,160.0,13,40.6696,-0.0132865,0.0032,0.0033,4.166,0.197,5.5,3.041,0.304,3.6,-0.567,0.392,2.8,-2.585,0.001,744.1
25,0.488199,-41.796603,25,NGC_1106,42.66879,41.6715,4337.0,8.0,-999,42.668669,41.6716011,0.029,0.0283,10.147,0.021,51.6,9.797,0.02,53.9,6.284,0.014,76.2,3.39,0.022,49.7
26,0.100875,5.323971,26,J0253-0014,43.37333,-0.2348889,8622.0,4.0,-999,43.3733326,-0.234861,0.0407,0.0406,13.231,0.024,44.7,13.016,0.028,39.3,8.854,0.026,41.6,5.347,0.031,35.5
