cntr_01,dist_x,pang_x,count_01,source_01,ra_01,dec_01,velo_01,date_obs_01,tsys_01,int_01,rms1_01,vlo1_01,vhi1_01,ra,dec,sigra,sigdec,w1mpro,w1sigmpro,w1snr,w2mpro,w2sigmpro,w2snr,w3mpro,w3sigmpro,w3snr,w4mpro,w4sigmpro,w4snr
1,0.792116,-88.202954,1,RXSJ00001+0523,0.04908,5.38817,11992,2016.2,51.3,3,10.9,10631,13365,0.0488591,5.3881769,0.0328,0.0325,11.895,0.023,47.8,10.875,0.02,53.6,7.922,0.019,55.7,5.711,0.039,27.8
2,1.106021,49.751738,2,KUG2358+330,0.24208,33.34389,12921,2012.963,36.5,8,4.0,11461,14395,0.2423607,33.3440885,0.046,0.0462,13.485,0.026,41.9,13.217,0.028,38.7,9.11,0.036,30.4,6.845,0.078,13.9
3,1.039782,81.638528,3,0001233+4733537,0.34708,47.56492,5237,2010.922,39.5,10,3.6,3848,6639,0.3475035,47.564962,0.0315,0.0306,11.772,0.022,49.7,11.178,0.02,54.5,7.759,0.018,61.0,5.191,0.028,38.1
4,0.287393,108.55232,4,NGC7805,0.3615,31.43372,4850,2006.097,43.8,5,6.0,3464,6248,0.3615887,31.4336946,0.0375,0.0356,10.552,0.023,47.1,10.613,0.02,53.9,10.126,0.06,18.0,8.89,0.473,2.3
5,0.239743,-18.912586,5,NGC7806,0.37525,31.44186,4768,2006.097,42.2,5,6.1,3383,6166,0.3752247,31.441923,0.0344,0.033,10.823,0.022,49.1,10.798,0.02,53.9,8.624,0.024,44.6,6.891,0.084,13.0
6,0.119134,78.848955,6,0001383+2329011,0.40967,23.48364,4382,2011.066,38.9,10,3.8,3000,5776,0.4097054,23.4836464,0.0337,0.0324,10.278,0.022,50.1,10.249,0.021,52.9,7.782,0.021,51.7,5.342,0.038,28.7
7,0.570163,68.517823,7,0001419+2329452,0.42458,23.49578,4393,2011.066,38.3,10,3.5,3011,5787,0.4247407,23.495838,0.0286,0.0276,10.353,0.02,54.3,10.068,0.019,56.1,6.14,0.014,79.0,3.682,0.026,42.1
8,0.376333,141.666231,8,UGC12915,0.42467,23.49592,4336,2005.172,27.1,28,1.5,3994,6788,0.4247407,23.495838,0.0286,0.0276,10.353,0.02,54.3,10.068,0.019,56.1,6.14,0.014,79.0,3.682,0.026,42.1
9,0.64766,-43.54569,10,0001523+4020109,0.46792,40.33636,13568,2010.996,45.1,10,4.1,12102,15048,0.4677574,40.3364904,0.0361,0.0356,11.828,0.023,47.1,11.468,0.02,53.5,9.19,0.031,34.7,6.892,0.067,16.2
10,0.499511,-163.298918,11,CGCG517-014,0.49371,36.64919,9609,2012.963,38.8,10,3.8,8179,11051,0.4936603,36.6490571,0.0303,0.0301,11.2,0.023,48.1,10.914,0.019,56.3,7.363,0.017,64.9,3.935,0.023,46.6
11,0.669477,-83.267965,12,NGC7811,0.61029,3.35189,7650,2014.066,41.9,9,4.4,6238,9074,0.610105,3.3519118,0.0319,0.0309,10.756,0.023,46.5,10.126,0.02,54.6,6.965,0.017,63.8,4.773,0.028,38.2
12,4.88199,-102.140117,13,MRK334,0.79146,21.96053,6600,2003.407,28.1,36,1.8,5198,8014,0.7900305,21.9602448,0.0298,0.0294,9.719,0.023,47.3,8.912,0.02,54.4,5.406,0.015,73.3,2.464,0.02,53.6
13,0.026535,147.261152,14,UM016,0.79175,4.74894,17358,2005.827,45.6,44,2.0,16982,20021,0.791754,4.7489338,0.0323,0.0312,11.828,0.023,47.8,10.73,0.021,52.0,7.252,0.017,63.3,4.62,0.028,38.2
14,0.990427,170.697107,15,NGC7814,0.81208,16.14558,1050,2010.364,34.9,10,3.1,-301,2414,0.8121263,16.1453085,0.0313,0.0307,8.438,0.023,47.7,8.38,0.02,54.0,6.85,0.016,68.5,5.694,0.044,24.4
15,0.526694,77.004463,16,UGC13,0.87167,27.35164,7690,2010.364,31.9,10,2.9,6278,9115,0.8718305,27.3516729,0.036,0.0343,11.108,0.022,49.8,11.06,0.022,50.2,8.146,0.025,43.1,6.322,0.057,19.1
16,0.420858,67.837822,17,NGC7808,0.88375,-10.74472,8787,2016.178,44.3,10,4.4,7454,10132,0.8838602,-10.7446759,0.0356,0.034,10.938,0.023,47.7,10.926,0.021,52.8,8.335,0.024,44.7,6.879,0.087,12.5
17,0.54171,85.884158,19,NGC7817,0.99546,20.75231,2309,2006.038,42.4,5,5.4,946,3684,0.9956205,20.7523208,0.0314,0.0313,10.237,0.023,47.6,10.086,0.021,51.7,6.609,0.016,69.2,4.545,0.029,37.5
18,0.106305,-101.723504,20,NGC7819,1.10225,31.47203,4958,2006.097,39.7,5,5.9,3571,6357,1.1022161,31.472024,0.0327,0.0325,11.759,0.024,46.0,11.581,0.021,50.7,7.387,0.017,64.2,4.98,0.032,33.9
19,1.28942,-138.366086,21,000435+005055,1.14675,31.47203,6295,2006.329,46.5,10,4.2,4896,7707,1.146471,31.4717623,0.249,0.254,16.785,0.088,12.3,16.205,0.179,6.1,12.621,,0.0,9.038,,0.4
20,0.152199,42.440161,22,MRK335,1.58137,20.20292,7730,2012.958,35.7,10,3.7,6318,9155,1.5814004,20.2029512,0.0296,0.0288,9.083,0.022,50.0,8.102,0.02,53.1,5.718,0.014,75.6,3.572,0.022,50.1
